"Année","Mois","Date exacte","Type De Culture","Marché","Quantité","Prix de vente","Prix d'achat au détail","Prix d'achat en gros"
"2019","2019-01","31/01/2019","Mil","Kaolack","35","","175",""
"2019","2019-01","31/01/2019","Maïs","Kaolack","10","","165",""
"2019","2019-01","31/01/2019","Riz Importé","Kaolack","395","","300",""
"2019","2019-01","31/01/2019","Riz Importé Parfumé","Kaolack","100","","400",""
"2019","2019-01","31/01/2019","Riz","Kaolack","54","","300",""
"2019","2019-01","30/01/2019","Mil","Ourossogui","15","","250","210"
"2019","2019-01","30/01/2019","Mil","Thiès","15","","225","200"
"2019","2019-01","30/01/2019","Sorgho","Ourossogui","0","","300","250"
"2019","2019-01","30/01/2019","Sorgho","Thiès","6","","225","200"
"2019","2019-01","30/01/2019","Maïs","Ourossogui","0","","250","200"
"2019","2019-01","30/01/2019","Maïs Importé","Ourossogui","2","","250","230"
"2019","2019-01","30/01/2019","Maïs Importé","Thiès","8","","250","225"
"2019","2019-01","30/01/2019","Sorgho Importé","Ourossogui","5","","250",""
"2019","2019-01","30/01/2019","Sorgho Importé","Thiès","12","","275",""
"2019","2019-01","30/01/2019","Riz Importé","Ourossogui","20","","300","270"
"2019","2019-01","30/01/2019","Riz Importé","Thiès","25","","275","250"
"2019","2019-01","30/01/2019","Riz Importé Parfumé","Thiès","15","","400","350"
"2019","2019-01","30/01/2019","Riz","Ourossogui","20","","300","260"
"2019","2019-01","30/01/2019","Riz","Thiès","28","","270","260"
"2019","2019-01","29/01/2019","Mil","Thiodaye","1","","250","225"
"2019","2019-01","29/01/2019","Sorgho","Thiodaye","1","","300","225"
"2019","2019-01","29/01/2019","Maïs","Thiodaye","0","","250","200"
"2019","2019-01","29/01/2019","Maïs Importé","Thiodaye","1","","250",""
"2019","2019-01","29/01/2019","Riz Importé","Thiodaye","3","","300","270"
"2019","2019-01","29/01/2019","Riz","Thiodaye","1","","300","255"
"2019","2019-01","28/01/2019","Sorgho","Kédougou","1","","300",""
"2019","2019-01","28/01/2019","Mil","Kédougou","1","","300",""
"2019","2019-01","28/01/2019","Maïs","Kédougou","8","","250",""
"2019","2019-01","28/01/2019","Riz Importé","Kédougou","225","","300","280"
"2019","2019-01","28/01/2019","Riz Importé Parfumé","Kédougou","85","","400","350"
"2019","2019-01","26/01/2019","Mil","Touba Mouride","7","175","180",""
"2019","2019-01","26/01/2019","Mil","Touba Toul","9","180","200",""
"2019","2019-01","26/01/2019","Mil","Mako","0","","325",""
"2019","2019-01","26/01/2019","Maïs","Touba Mouride","2","160","165",""
"2019","2019-01","26/01/2019","Maïs","Touba Toul","6","190","200",""
"2019","2019-01","26/01/2019","Maïs","Mako","2","","275",""
"2019","2019-01","26/01/2019","Maïs Importé","Touba Toul","7","","200","180"
"2019","2019-01","26/01/2019","Riz Importé","Touba Mouride","15","","300","280"
"2019","2019-01","26/01/2019","Riz Importé","Touba Toul","10","","270","250"
"2019","2019-01","26/01/2019","Riz Importé","Mako","4","","325",""
"2019","2019-01","26/01/2019","Riz Importé Parfumé","Touba Toul","6","","400","375"
"2019","2019-01","26/01/2019","Riz Importé Parfumé","Mako","1","","425",""
"2019","2019-01","26/01/2019","Riz","Touba Toul","11","","270","250"
"2019","2019-01","25/01/2019","Mil","Mpal","30","","250","200"
"2019","2019-01","25/01/2019","Mil","Porokhane","47","160","165",""
"2019","2019-01","25/01/2019","Maïs","Mpal","10","","225","200"
"2019","2019-01","25/01/2019","Maïs","Porokhane","6","155","160",""
"2019","2019-01","25/01/2019","Maïs Importé","Mpal","30","","225","200"
"2019","2019-01","25/01/2019","Sorgho Importé","Mpal","5","","300",""
"2019","2019-01","25/01/2019","Riz Importé","Mpal","150","","300","270"
"2019","2019-01","25/01/2019","Riz Importé","Porokhane","30","","300",""
"2019","2019-01","25/01/2019","Riz","Mpal","100","","275","235"
"2019","2019-01","24/01/2019","Mil","Diourbel","30","","200","175"
"2019","2019-01","24/01/2019","Mil","Kaolack","80","","175",""
"2019","2019-01","24/01/2019","Mil","Tambacounda","35","","200","175"
"2019","2019-01","24/01/2019","Mil","Saint-Maur","85","","250","225"
"2019","2019-01","24/01/2019","Mil","Louga","150","","210","200"
"2019","2019-01","24/01/2019","Sorgho","Diourbel","1","","250","225"
"2019","2019-01","24/01/2019","Sorgho","Kaolack","15","","235",""
"2019","2019-01","24/01/2019","Sorgho","Saint-Maur","7","","300","250"
"2019","2019-01","24/01/2019","Maïs","Kaolack","16","","180",""
"2019","2019-01","24/01/2019","Maïs","Tambacounda","45","","200","175"
"2019","2019-01","24/01/2019","Maïs","Saint-Maur","20","","250","225"
"2019","2019-01","24/01/2019","Maïs","Louga","50","","210","200"
"2019","2019-01","24/01/2019","Maïs Importé","Diourbel","49","","200","190"
"2019","2019-01","24/01/2019","Maïs Importé","Louga","170","","185","175"
"2019","2019-01","24/01/2019","Riz Importé","Diourbel","200","","300","280"
"2019","2019-01","24/01/2019","Riz Importé","Kaolack","425","","300",""
"2019","2019-01","24/01/2019","Riz Importé","Tambacounda","88","","300","270"
"2019","2019-01","24/01/2019","Riz Importé","Saint-Maur","180","","300","285"
"2019","2019-01","24/01/2019","Riz Importé","Louga","180","","300","290"
"2019","2019-01","24/01/2019","Riz Importé Parfumé","Diourbel","50","","450",""
"2019","2019-01","24/01/2019","Riz Importé Parfumé","Kaolack","115","","400",""
"2019","2019-01","24/01/2019","Riz Importé Parfumé","Tambacounda","65","","450","400"
"2019","2019-01","24/01/2019","Riz Importé Parfumé","Louga","90","","400","375"
"2019","2019-01","24/01/2019","Riz","Diourbel","90","","325",""
"2019","2019-01","24/01/2019","Riz","Kaolack","74","","300",""
"2019","2019-01","24/01/2019","Riz","Louga","80","","300","275"
"2019","2019-01","23/01/2019","Mil","Ourossogui","20","","250","210"
"2019","2019-01","23/01/2019","Mil","Sédhiou","9","","250","225"
"2019","2019-01","23/01/2019","Mil","Thiès","11","","225","200"
"2019","2019-01","23/01/2019","Sorgho","Ourossogui","2","","300","250"
"2019","2019-01","23/01/2019","Sorgho","Thiès","6","","225","200"
"2019","2019-01","23/01/2019","Maïs","Sédhiou","2","","250","225"
"2019","2019-01","23/01/2019","Maïs Importé","Ourossogui","10","","250","230"
"2019","2019-01","23/01/2019","Maïs Importé","Thiès","5","","250","225"
"2019","2019-01","23/01/2019","Sorgho Importé","Ourossogui","1","","300",""
"2019","2019-01","23/01/2019","Sorgho Importé","Thiès","8","","275",""
"2019","2019-01","23/01/2019","Riz Importé","Ourossogui","30","","300","270"
"2019","2019-01","23/01/2019","Riz Importé","Sédhiou","90","","300","280"
"2019","2019-01","23/01/2019","Riz Importé","Thiès","18","","275","250"
"2019","2019-01","23/01/2019","Riz Importé Parfumé","Sédhiou","7","","400","380"
"2019","2019-01","23/01/2019","Riz Importé Parfumé","Thiès","13","","400","350"
"2019","2019-01","23/01/2019","Riz","Ourossogui","10","","300","260"
"2019","2019-01","23/01/2019","Riz","Thiès","20","","270","260"
"2019","2019-01","21/01/2019","Mil","Mereto","65","150","175",""
"2019","2019-01","21/01/2019","Mil","Kolda","6","","225","190"
"2019","2019-01","21/01/2019","Mil","Saint-Louis","150","","250","210"
"2019","2019-01","21/01/2019","Mil","Gouille Mbeuth","100","","200","190"
"2019","2019-01","21/01/2019","Sorgho","Kolda","2","","250","225"
"2019","2019-01","21/01/2019","Sorgho","Saint-Louis","30","","250","220"
"2019","2019-01","21/01/2019","Maïs","Mereto","75","150","175",""
"2019","2019-01","21/01/2019","Maïs","Kolda","7","","200","180"
"2019","2019-01","21/01/2019","Maïs","Saint-Louis","10","","250",""
"2019","2019-01","21/01/2019","Maïs","Gouille Mbeuth","25","","195","190"
"2019","2019-01","21/01/2019","Maïs Importé","Saint-Louis","40","","250",""
"2019","2019-01","21/01/2019","Maïs Importé","Gouille Mbeuth","90","","180","170"
"2019","2019-01","21/01/2019","Sorgho Importé","Saint-Louis","5","","275",""
"2019","2019-01","21/01/2019","Riz Importé","Mereto","45","","300","270"
"2019","2019-01","21/01/2019","Riz Importé","Kolda","195","","300","280"
"2019","2019-01","21/01/2019","Riz Importé","Saint-Louis","120","","300","275"
"2019","2019-01","21/01/2019","Riz Importé","Gouille Mbeuth","70","","300","290"
"2019","2019-01","21/01/2019","Riz Importé Parfumé","Mereto","10","","500","450"
"2019","2019-01","21/01/2019","Riz Importé Parfumé","Kolda","25","","450","400"
"2019","2019-01","21/01/2019","Riz Importé Parfumé","Saint-Louis","50","","400","360"
"2019","2019-01","21/01/2019","Riz Importé Parfumé","Gouille Mbeuth","50","","350","325"
"2019","2019-01","21/01/2019","Riz","Kolda","13","","300","280"
"2019","2019-01","21/01/2019","Riz","Saint-Louis","80","","300","250"
"2019","2019-01","21/01/2019","Riz","Gouille Mbeuth","50","","325","300"
"2019","2019-01","20/01/2019","Mil","Fatick","21","","225","210"
"2019","2019-01","20/01/2019","Mil","Passy","170","160","190","170"
"2019","2019-01","20/01/2019","Sorgho","Fatick","5","","225","215"
"2019","2019-01","20/01/2019","Sorgho","Passy","25","180","195","190"
"2019","2019-01","20/01/2019","Maïs","Fatick","13","","225","215"
"2019","2019-01","20/01/2019","Maïs","Passy","110","160","175","170"
"2019","2019-01","20/01/2019","Maïs Importé","Fatick","35","","225","215"
"2019","2019-01","20/01/2019","Maïs Importé","Passy","15","","220","200"
"2019","2019-01","20/01/2019","Riz Importé","Fatick","75","","270",""
"2019","2019-01","20/01/2019","Riz Importé","Passy","120","","270",""
"2019","2019-01","20/01/2019","Riz Importé Parfumé","Fatick","41","","380",""
"2019","2019-01","20/01/2019","Riz Importé Parfumé","Passy","55","","350",""
"2019","2019-01","19/01/2019","Mil","Touba Mouride","8","170","175",""
"2019","2019-01","19/01/2019","Mil","Touba Toul","6","180","200",""
"2019","2019-01","19/01/2019","Maïs","Touba Mouride","2","150","160",""
"2019","2019-01","19/01/2019","Maïs","Touba Toul","4","190","200",""
"2019","2019-01","19/01/2019","Maïs Importé","Touba Toul","5","","225","180"
"2019","2019-01","19/01/2019","Riz Importé","Touba Mouride","15","","300","280"
"2019","2019-01","19/01/2019","Riz Importé","Touba Toul","6","","270","250"
"2019","2019-01","19/01/2019","Riz Importé Parfumé","Touba Toul","4","","400","375"
"2019","2019-01","19/01/2019","Riz","Touba Toul","8","","260","250"
"2019","2019-01","18/01/2019","Mil","Touba","95","","200","185"
"2019","2019-01","18/01/2019","Mil","Porokhane","35","155","160",""
"2019","2019-01","18/01/2019","Mil","Mpal","30","","250","200"
"2019","2019-01","18/01/2019","Sorgho","Touba","50","","250","225"
"2019","2019-01","18/01/2019","Maïs","Touba","30","","185","170"
"2019","2019-01","18/01/2019","Maïs","Porokhane","0","150","160",""
"2019","2019-01","18/01/2019","Maïs","Mpal","10","","225","200"
"2019","2019-01","18/01/2019","Maïs Importé","Touba","60","","175","160"
"2019","2019-01","18/01/2019","Maïs Importé","Mpal","30","","225","200"
"2019","2019-01","18/01/2019","Sorgho Importé","Mpal","5","","300",""
"2019","2019-01","18/01/2019","Riz Importé","Touba","2.550","","275","265"
"2019","2019-01","18/01/2019","Riz Importé","Porokhane","30","","300",""
"2019","2019-01","18/01/2019","Riz Importé","Mpal","150","","300","270"
"2019","2019-01","18/01/2019","Riz Importé Parfumé","Touba","625","","400","350"
"2019","2019-01","18/01/2019","Riz","Touba","750","","250","235"
"2019","2019-01","18/01/2019","Riz","Mpal","100","","275","235"
"2019","2019-01","17/01/2019","Mil","Tilene","120","","250","210"
"2019","2019-01","17/01/2019","Mil","Thiaroye","80","","250","220"
"2019","2019-01","17/01/2019","Mil","Kaolack","95","","175",""
"2019","2019-01","17/01/2019","Mil","Tambacounda","12","","200","175"
"2019","2019-01","17/01/2019","Sorgho","Tilene","10","","300","250"
"2019","2019-01","17/01/2019","Sorgho","Thiaroye","1","","250","225"
"2019","2019-01","17/01/2019","Sorgho","Kaolack","2","","225",""
"2019","2019-01","17/01/2019","Sorgho","Tambacounda","1","","225","200"
"2019","2019-01","17/01/2019","Maïs","Tilene","25","","200","160"
"2019","2019-01","17/01/2019","Maïs","Thiaroye","15","","250",""
"2019","2019-01","17/01/2019","Maïs","Kaolack","15","","180",""
"2019","2019-01","17/01/2019","Maïs","Tambacounda","26","","200","175"
"2019","2019-01","17/01/2019","Maïs Importé","Thiaroye","8","","250","200"
"2019","2019-01","17/01/2019","Sorgho Importé","Thiaroye","0","","250",""
"2019","2019-01","17/01/2019","Riz Importé","Tilene","120","","270","255"
"2019","2019-01","17/01/2019","Riz Importé","Thiaroye","50","","270","265"
"2019","2019-01","17/01/2019","Riz Importé","Kaolack","538","","300",""
"2019","2019-01","17/01/2019","Riz Importé","Tambacounda","87","","300","270"
"2019","2019-01","17/01/2019","Riz Importé Parfumé","Tilene","150","","350","300"
"2019","2019-01","17/01/2019","Riz Importé Parfumé","Thiaroye","100","","350","300"
"2019","2019-01","17/01/2019","Riz Importé Parfumé","Kaolack","156","","400",""
"2019","2019-01","17/01/2019","Riz Importé Parfumé","Tambacounda","25","","450","400"
"2019","2019-01","17/01/2019","Riz","Tilene","10","","295","270"
"2019","2019-01","17/01/2019","Riz","Thiaroye","7","","295","280"
"2019","2019-01","17/01/2019","Riz","Kaolack","53","","300",""
"2019","2019-01","16/01/2019","Mil","Ourossogui","20","","250","210"
"2019","2019-01","16/01/2019","Mil","Thiès","13","","225","200"
"2019","2019-01","16/01/2019","Mil","Diaobe","18","","175","150"
"2019","2019-01","16/01/2019","Mil","Sédhiou","7","","250","225"
"2019","2019-01","16/01/2019","Sorgho","Thiès","8","","225","200"
"2019","2019-01","16/01/2019","Sorgho","Diaobe","20","","175","160"
"2019","2019-01","16/01/2019","Maïs","Diaobe","50","","175","160"
"2019","2019-01","16/01/2019","Maïs","Sédhiou","2","","250","225"
"2019","2019-01","16/01/2019","Maïs Importé","Ourossogui","2","","250",""
"2019","2019-01","16/01/2019","Maïs Importé","Thiès","7","","250","225"
"2019","2019-01","16/01/2019","Sorgho Importé","Ourossogui","5","","250",""
"2019","2019-01","16/01/2019","Sorgho Importé","Thiès","10","","275",""
"2019","2019-01","16/01/2019","Riz Importé","Ourossogui","20","","300","270"
"2019","2019-01","16/01/2019","Riz Importé","Thiès","20","","275","250"
"2019","2019-01","16/01/2019","Riz Importé","Diaobe","70","","300","280"
"2019","2019-01","16/01/2019","Riz Importé","Sédhiou","100","","300","280"
"2019","2019-01","16/01/2019","Riz Importé Parfumé","Thiès","14","","400","350"
"2019","2019-01","16/01/2019","Riz Importé Parfumé","Diaobe","60","","400","390"
"2019","2019-01","16/01/2019","Riz Importé Parfumé","Sédhiou","8","","400","380"
"2019","2019-01","16/01/2019","Riz","Ourossogui","4","","300","260"
"2019","2019-01","16/01/2019","Riz","Thiès","23","","270","260"
"2019","2019-01","16/01/2019","Riz","Diaobe","35","","300",""
"2019","2019-01","15/01/2019","Mil","Thiodaye","1","","250","225"
"2019","2019-01","15/01/2019","Sorgho","Thiodaye","0","","275",""
"2019","2019-01","15/01/2019","Maïs","Thiodaye","2","","250","200"
"2019","2019-01","15/01/2019","Maïs Importé","Thiodaye","1","","225",""
"2019","2019-01","15/01/2019","Riz Importé","Thiodaye","3","","300","270"
"2019","2019-01","15/01/2019","Riz","Thiodaye","1","","300","255"
"2019","2019-01","14/01/2019","Mil","Mereto","30","150","175",""
"2019","2019-01","14/01/2019","Mil","Kolda","5","","200","180"
"2019","2019-01","14/01/2019","Mil","Louga","250","","210","200"
"2019","2019-01","14/01/2019","Mil","Gouille Mbeuth","70","","200","190"
"2019","2019-01","14/01/2019","Mil","Saint-Louis","150","","250","210"
"2019","2019-01","14/01/2019","Sorgho","Kolda","1","","250","225"
"2019","2019-01","14/01/2019","Sorgho","Saint-Louis","30","","250","220"
"2019","2019-01","14/01/2019","Maïs","Mereto","40","150","175",""
"2019","2019-01","14/01/2019","Maïs","Kolda","4","","200","180"
"2019","2019-01","14/01/2019","Maïs","Louga","50","","210","200"
"2019","2019-01","14/01/2019","Maïs","Gouille Mbeuth","20","","195","190"
"2019","2019-01","14/01/2019","Maïs","Saint-Louis","10","","250",""
"2019","2019-01","14/01/2019","Maïs Importé","Louga","278","","185","175"
"2019","2019-01","14/01/2019","Maïs Importé","Gouille Mbeuth","100","","180","170"
"2019","2019-01","14/01/2019","Maïs Importé","Saint-Louis","40","","250",""
"2019","2019-01","14/01/2019","Sorgho Importé","Saint-Louis","5","","275",""
"2019","2019-01","14/01/2019","Riz Importé","Mereto","60","","300","270"
"2019","2019-01","14/01/2019","Riz Importé","Kolda","180","","300","280"
"2019","2019-01","14/01/2019","Riz Importé","Louga","180","","300","290"
"2019","2019-01","14/01/2019","Riz Importé","Gouille Mbeuth","90","","300","290"
"2019","2019-01","14/01/2019","Riz Importé","Saint-Louis","120","","300","275"
"2019","2019-01","14/01/2019","Riz Importé Parfumé","Mereto","0","","450","400"
"2019","2019-01","14/01/2019","Riz Importé Parfumé","Kolda","28","","450","400"
"2019","2019-01","14/01/2019","Riz Importé Parfumé","Louga","70","","400","375"
"2019","2019-01","14/01/2019","Riz Importé Parfumé","Gouille Mbeuth","30","","400","375"
"2019","2019-01","14/01/2019","Riz Importé Parfumé","Saint-Louis","50","","400","360"
"2019","2019-01","14/01/2019","Riz","Kolda","10","","300","280"
"2019","2019-01","14/01/2019","Riz","Louga","80","","300","275"
"2019","2019-01","14/01/2019","Riz","Gouille Mbeuth","50","","300","275"
"2019","2019-01","14/01/2019","Riz","Saint-Louis","80","","300","250"
"2019","2019-01","12/01/2019","Mil","Touba Toul","8","180","200",""
"2019","2019-01","12/01/2019","Mil","Touba Mouride","13","170","175",""
"2019","2019-01","12/01/2019","Maïs","Touba Toul","6","190","200",""
"2019","2019-01","12/01/2019","Maïs","Touba Mouride","2","150","160",""
"2019","2019-01","12/01/2019","Maïs Importé","Touba Toul","7","","200","180"
"2019","2019-01","12/01/2019","Riz Importé","Touba Toul","8","","270","250"
"2019","2019-01","12/01/2019","Riz Importé","Touba Mouride","15","","300","280"
"2019","2019-01","12/01/2019","Riz Importé Parfumé","Touba Toul","5","","400","375"
"2019","2019-01","12/01/2019","Riz","Touba Toul","10","","260","250"
"2019","2019-01","11/01/2019","Mil","Mpal","30","","250","225"
"2019","2019-01","11/01/2019","Mil","Porokhane","30","155","160",""
"2019","2019-01","11/01/2019","Maïs","Mpal","10","","225","200"
"2019","2019-01","11/01/2019","Maïs","Porokhane","1","155","160",""
"2019","2019-01","11/01/2019","Maïs Importé","Mpal","30","","225","200"
"2019","2019-01","11/01/2019","Sorgho Importé","Mpal","5","","325",""
"2019","2019-01","11/01/2019","Riz Importé","Mpal","150","","300","270"
"2019","2019-01","11/01/2019","Riz Importé","Porokhane","30","","300",""
"2019","2019-01","11/01/2019","Riz","Mpal","100","","275","240"
"2019","2019-01","10/01/2019","Mil","Diourbel","26","","200","175"
"2019","2019-01","10/01/2019","Mil","Kaolack","95","","175",""
"2019","2019-01","10/01/2019","Mil","Tambacounda","32","","200","175"
"2019","2019-01","10/01/2019","Sorgho","Diourbel","1","","250","225"
"2019","2019-01","10/01/2019","Sorgho","Kaolack","1","","225",""
"2019","2019-01","10/01/2019","Sorgho","Tambacounda","1","","225","200"
"2019","2019-01","10/01/2019","Maïs","Kaolack","11","","180",""
"2019","2019-01","10/01/2019","Maïs","Tambacounda","45","","200","175"
"2019","2019-01","10/01/2019","Maïs Importé","Diourbel","39","","200","190"
"2019","2019-01","10/01/2019","Riz Importé","Diourbel","190","","300","280"
"2019","2019-01","10/01/2019","Riz Importé","Kaolack","407","","300",""
"2019","2019-01","10/01/2019","Riz Importé","Tambacounda","210","","300","270"
"2019","2019-01","10/01/2019","Riz Importé Parfumé","Diourbel","26","","450",""
"2019","2019-01","10/01/2019","Riz Importé Parfumé","Kaolack","82","","400",""
